Pos,Player,Rk,Season,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
G,Austin Rivers,514,2019_20,3.1,7.4,1.4,4.0,1.7,3.4,1.1,1.6,0.4,2.2,2.6,1.7,0.7,0.1,0.7,1.9
F,Andre Roberson,515,2019_20,1.1,4.1,0.4,2.0,0.7,2.1,0.1,0.3,1.0,2.9,3.9,0.6,0.1,0.4,0.3,1.9
G,Duncan Robinson,516,2019_20,4.4,9.4,3.7,8.3,0.7,1.1,0.9,1.0,0.1,3.0,3.2,1.4,0.5,0.3,1.0,2.6
F,Glenn Robinson III,517,2019_20,4.6,9.5,1.2,3.2,3.4,6.4,1.2,1.4,1.3,3.0,4.4,1.5,0.9,0.3,0.9,1.6
F,Glenn Robinson III,518,2019_20,5.1,10.6,1.4,3.5,3.7,7.0,1.3,1.5,1.4,3.3,4.7,1.8,0.9,0.3,1.0,1.7
F,Glenn Robinson III,519,2019_20,3.1,6.1,0.6,1.9,2.5,4.1,0.8,0.9,1.1,2.1,3.1,0.8,0.6,0.1,0.4,1.3
G,Jerome Robinson,520,2019_20,1.8,4.9,0.8,2.4,1.0,2.5,0.6,0.9,0.2,1.8,2.0,1.4,0.4,0.3,0.8,1.8
G,Jerome Robinson,521,2019_20,1.1,3.2,0.5,1.6,0.6,1.6,0.3,0.5,0.1,1.3,1.4,1.1,0.3,0.2,0.6,1.3
G,Jerome Robinson,522,2019_20,3.3,8.3,1.4,4.1,1.9,4.2,1.4,1.8,0.4,2.9,3.3,2.0,0.7,0.4,1.1,2.7
G,Justin Robinson,523,2019_20,0.6,1.3,0.3,0.6,0.2,0.8,0.0,0.0,0.1,0.4,0.6,0.8,0.0,0.1,0.3,0.2
C,Mitchell Robinson,524,2019_20,4.1,5.6,0.0,0.0,4.1,5.6,1.4,2.4,3.0,4.0,7.0,0.6,0.9,2.0,0.6,3.2
G,Rajon Rondo,526,2019_20,2.9,6.8,0.9,2.6,2.0,4.2,0.6,0.9,0.5,2.5,3.0,5.0,0.8,0.0,1.9,1.2
G,Derrick Rose,527,2019_20,7.4,15.1,0.9,2.9,6.5,12.1,2.4,2.8,0.5,1.9,2.4,5.6,0.8,0.3,2.5,1.0
